"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol","gene_biotype","ensembl_transcript_id","transcript_length","transcript_start","transcript_end"
"1","ENSG00000000971",82.8143048505563,5.89371261991014,0.711660457266966,8.28163565887042,1.21494823256576e-16,7.57260368637732e-15,"CFH","protein_coding","ENST00000367429",3962,196652043,196747504
"2","ENSG00000000971",82.8143048505563,5.89371261991014,0.711660457266966,8.28163565887042,1.21494823256576e-16,7.57260368637732e-15,"CFH","protein_coding","ENST00000630130",1658,196652045,196701566
"3","ENSG00000000971",82.8143048505563,5.89371261991014,0.711660457266966,8.28163565887042,1.21494823256576e-16,7.57260368637732e-15,"CFH","protein_coding","ENST00000496761",550,196652056,196673407
"4","ENSG00000000971",82.8143048505563,5.89371261991014,0.711660457266966,8.28163565887042,1.21494823256576e-16,7.57260368637732e-15,"CFH","protein_coding","ENST00000359637",1454,196652056,196701565
"5","ENSG00000000971",82.8143048505563,5.89371261991014,0.711660457266966,8.28163565887042,1.21494823256576e-16,7.57260368637732e-15,"CFH","protein_coding","ENST00000466229",6985,196676988,196747504
"6","ENSG00000000971",82.8143048505563,5.89371261991014,0.711660457266966,8.28163565887042,1.21494823256576e-16,7.57260368637732e-15,"CFH","protein_coding","ENST00000470918",753,196736908,196741086
"7","ENSG00000002549",14164.3297001085,2.48776986043997,0.230373202560138,10.7988682398533,3.48472282078568e-27,4.38119265731008e-25,"LAP3","protein_coding","ENST00000226299",2209,17577198,17607970
"8","ENSG00000002549",14164.3297001085,2.48776986043997,0.230373202560138,10.7988682398533,3.48472282078568e-27,4.38119265731008e-25,"LAP3","protein_coding","ENST00000618908",2100,17577304,17607967
"9","ENSG00000002549",14164.3297001085,2.48776986043997,0.230373202560138,10.7988682398533,3.48472282078568e-27,4.38119265731008e-25,"LAP3","protein_coding","ENST00000508497",651,17577426,17582152
"10","ENSG00000002549",14164.3297001085,2.48776986043997,0.230373202560138,10.7988682398533,3.48472282078568e-27,4.38119265731008e-25,"LAP3","protein_coding","ENST00000512397",689,17577452,17582689
"11","ENSG00000002549",14164.3297001085,2.48776986043997,0.230373202560138,10.7988682398533,3.48472282078568e-27,4.38119265731008e-25,"LAP3","protein_coding","ENST00000606142",1876,17577495,17607934
"12","ENSG00000002549",14164.3297001085,2.48776986043997,0.230373202560138,10.7988682398533,3.48472282078568e-27,4.38119265731008e-25,"LAP3","protein_coding","ENST00000509583",887,17577497,17585456
"13","ENSG00000002549",14164.3297001085,2.48776986043997,0.230373202560138,10.7988682398533,3.48472282078568e-27,4.38119265731008e-25,"LAP3","protein_coding","ENST00000507960",435,17582380,17585051
